Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
0Q,1,2021-12-31,0.118999995,1.88,1.75,1.97,1.68,25.0,0.118999995,118182000000.0,111806000000.0,121303000000.0,22.0,,,1.88,1.88,1.88,1.88,1.87,1.0,4.0,0.0,,AAPL
+1Q,1,2022-03-31,-0.056999996,1.32,1.16,1.52,1.4,24.0,-0.056999996,90424300000.0,83259000000.0,98284000000.0,22.0,,,1.32,1.32,1.32,1.32,1.28,1.0,2.0,0.0,,AAPL
0Y,1,2022-09-30,0.023,5.74,5.2,6.27,5.61,37.0,0.023,381815000000.0,359156000000.0,405435000000.0,36.0,365817000000.0,0.044,5.74,5.74,5.73,5.73,5.68,1.0,5.0,0.0,,AAPL
+1Y,1,2023-09-30,0.077,6.18,5.26,6.82,5.74,33.0,0.077,401288000000.0,300500000000.0,445584000000.0,31.0,381815000000.0,0.051,6.18,6.18,6.14,6.12,5.95,1.0,4.0,0.0,,AAPL
+5Y,1,,0.1568,,,,,,,,,,,,,,,,,,,,,,AAPL
-5Y,1,,0.08415,,,,,,,,,,,,,,,,,,,,,,AAPL
0Q,1,2021-12-31,0.138,2.31,2.27,2.46,2.03,29.0,0.138,50840800000.0,50536700000.0,51555000000.0,28.0,,,2.31,2.31,2.31,2.31,2.22,0.0,0.0,0.0,,MSFT
+1Q,1,2022-03-31,0.069,2.17,2.02,2.36,2.03,29.0,0.069,48229800000.0,46904400000.0,50425000000.0,28.0,,,2.17,2.17,2.17,2.17,2.14,0.0,0.0,0.0,,MSFT
0Y,1,2022-06-30,0.144,9.21,8.85,9.7,8.05,29.0,0.144,196980000000.0,194338000000.0,202538000000.0,39.0,168088000000.0,0.172,9.21,9.21,9.2,9.2,8.79,1.0,2.0,0.0,,MSFT
+1Y,1,2023-06-30,0.144,10.54,9.87,11.43,9.21,37.0,0.144,224896000000.0,216275000000.0,240068000000.0,39.0,196980000000.0,0.142,10.54,10.53,10.53,10.51,10.11,1.0,2.0,0.0,,MSFT
